,stdWeight,Chaotic,Fix,Non-Trivial,Cyclic,No-Activity,Saturated
0,0.001,0,0,0,0,100,0
1,0.0012,0,0,0,0,100,0
2,0.0013,0,0,0,0,100,0
3,0.0015,0,0,0,0,100,0
4,0.0018,0,0,0,0,100,0
5,0.0021,0,0,0,0,100,0
6,0.0024,0,0,0,0,100,0
7,0.0028,0,0,0,0,100,0
8,0.0032,0,0,0,0,100,0
9,0.0037,0,0,0,0,100,0
10,0.0043,0,0,0,0,100,0
11,0.005,0,0,0,0,100,0
12,0.0057,0,0,0,0,100,0
13,0.0066,0,0,0,0,100,0
14,0.0077,0,0,0,0,100,0
15,0.0089,0,0,0,0,100,0
16,0.0103,0,0,0,0,100,0
17,0.0119,0,0,0,0,100,0
18,0.0138,0,0,0,0,100,0
19,0.0159,0,0,0,0,100,0
20,0.0184,0,0,0,0,100,0
21,0.0213,0,0,0,0,100,0
22,0.0247,0,0,0,0,100,0
23,0.0286,0,0,0,0,100,0
24,0.033,0,0,0,0,100,0
25,0.0382,0,0,0,0,100,0
26,0.0442,0,0,0,0,100,0
27,0.0512,0,0,0,0,100,0
28,0.0592,0,1,0,0,99,0
29,0.0685,0,8,0,6,86,0
30,0.0792,0,8,0,37,55,0
31,0.0916,0,8,0,65,27,0
32,0.106,9,5,3,69,14,0
33,0.1226,73,0,4,23,0,0
34,0.1419,92,0,1,7,0,0
35,0.1641,91,1,2,6,0,0
36,0.1899,96,0,1,3,0,0
37,0.2197,99,0,1,0,0,0
38,0.2541,93,0,0,7,0,0
39,0.294,95,0,0,5,0,0
40,0.3401,94,0,0,6,0,0
41,0.3935,89,0,1,10,0,0
42,0.4552,86,2,1,11,0,0
43,0.5266,86,2,0,12,0,0
44,0.6093,77,2,1,20,0,0
45,0.7049,77,2,0,21,0,0
46,0.8154,71,3,4,22,0,0
47,0.9434,73,1,1,25,0,0
48,1.0914,69,0,0,31,0,0
49,1.2626,68,0,0,32,0,0
50,1.4607,68,0,2,30,0,0
51,1.6898,65,2,1,32,0,0
52,1.955,56,1,1,42,0,0
53,2.2617,53,2,2,43,0,0
54,2.6165,54,2,6,38,0,0
55,3.027,55,0,1,44,0,0
56,3.5019,52,3,0,45,0,0
57,4.0513,50,4,1,45,0,0
58,4.6869,46,6,2,46,0,0
59,5.4222,49,1,1,49,0,0
60,6.2729,41,1,0,58,0,0
61,7.257,45,2,2,51,0,0
62,8.3956,44,0,1,55,0,0
63,9.7127,37,2,2,59,0,0
64,11.2365,41,2,0,57,0,0
65,12.9994,39,0,3,58,0,0
66,15.0389,40,0,2,58,0,0
67,17.3983,41,1,0,58,0,0
68,20.1279,39,1,1,59,0,0
69,23.2857,43,1,3,53,0,0
70,26.9389,36,0,0,64,0,0
71,31.1653,36,1,0,63,0,0
72,36.0547,39,2,1,58,0,0
73,41.7112,40,2,0,58,0,0
74,48.2552,38,3,2,57,0,0
75,55.8259,35,1,2,62,0,0
76,64.5842,31,1,2,66,0,0
77,74.7167,33,1,1,65,0,0
78,86.4388,37,2,1,60,0,0
79,100.0,39,3,2,56,0,0
